"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHOSIS_000002","PUBLISHED","2000","EMR","","JOR","BTSX","63.6","63.56261","","","","",""
"WHOSIS_000002","PUBLISHED","2000","WPR","","JPN","MLE","69.5","69.46229","","","","",""
"WHOSIS_000002","PUBLISHED","2010","WPR","","JPN","FMLE","74.7","74.69646","","","","",""
"WHOSIS_000002","PUBLISHED","2010","WPR","","JPN","BTSX","73.0","72.97374","","","","",""
"WHOSIS_000002","PUBLISHED","2010","EUR","","KAZ","MLE","57.0","56.96284","","","","",""
"WHOSIS_000002","PUBLISHED","2010","EUR","","KAZ","FMLE","64.0","64.00623","","","","",""
"WHOSIS_000002","PUBLISHED","2010","EUR","","KAZ","BTSX","60.4","60.44891","","","","",""
"WHOSIS_000002","PUBLISHED","2010","AFR","","KEN","MLE","52.6","52.60996","","","","",""
"WHOSIS_000002","PUBLISHED","2015","AFR","","KEN","FMLE","57.4","57.40244","","","","",""
"WHOSIS_000002","PUBLISHED","2015","AFR","","KEN","BTSX","56.1","56.08237","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EUR","","KGZ","MLE","61.3","61.32084","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EUR","","KGZ","FMLE","66.2","66.16227","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EUR","","KGZ","BTSX","63.7","63.73938","","","","",""
"WHOSIS_000002","PUBLISHED","2015","WPR","","KHM","MLE","58.9","58.94764","","","","",""
"WHOSIS_000002","PUBLISHED","2019","WPR","","KHM","MLE","59.8","59.81303","","","","",""
"WHOSIS_000002","PUBLISHED","2019","WPR","","KHM","FMLE","63.0","63.02607","","","","",""
"WHOSIS_000002","PUBLISHED","2019","WPR","","KHM","BTSX","61.5","61.50683","","","","",""
"WHOSIS_000002","PUBLISHED","2019","WPR","","KIR","MLE","50.5","50.45320","","","","",""
"WHOSIS_000002","PUBLISHED","2019","WPR","","KIR","FMLE","54.9","54.85363","","","","",""
"WHOSIS_000002","PUBLISHED","2019","WPR","","KIR","BTSX","52.6","52.61602","","","","",""
"WHOSIS_000002","PUBLISHED","2000","WPR","","KOR","FMLE","69.7","69.67042","","","","",""
"WHOSIS_000002","PUBLISHED","2000","WPR","","KOR","BTSX","67.4","67.36051","","","","",""
"WHOSIS_000002","PUBLISHED","2000","EMR","","KWT","MLE","67.4","67.37933","","","","",""
"WHOSIS_000002","PUBLISHED","2000","EMR","","KWT","FMLE","68.0","68.02139","","","","",""
"WHOSIS_000002","PUBLISHED","2000","EMR","","KWT","BTSX","67.7","67.70013","","","","",""
"WHOSIS_000002","PUBLISHED","2000","WPR","","LAO","MLE","50.5","50.50145","","","","",""
"WHOSIS_000002","PUBLISHED","2010","WPR","","LAO","FMLE","58.9","58.89638","","","","",""
"WHOSIS_000002","PUBLISHED","2010","WPR","","LAO","BTSX","57.4","57.43160","","","","",""
"WHOSIS_000002","PUBLISHED","2010","EMR","","LBN","MLE","64.6","64.59817","","","","",""
"WHOSIS_000002","PUBLISHED","2010","EMR","","LBN","FMLE","66.3","66.32658","","","","",""
"WHOSIS_000002","PUBLISHED","2010","EMR","","LBN","BTSX","65.4","65.39648","","","","",""
"WHOSIS_000002","PUBLISHED","2010","AFR","","LBR","MLE","52.3","52.30150","","","","",""
"WHOSIS_000002","PUBLISHED","2015","AFR","","LBR","MLE","52.7","52.74216","","","","",""
"WHOSIS_000002","PUBLISHED","2015","AFR","","LBR","FMLE","52.2","52.22398","","","","",""
"WHOSIS_000002","PUBLISHED","2015","AFR","","LBR","BTSX","52.5","52.47270","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EMR","","LBY","MLE","63.5","63.48631","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EMR","","LBY","FMLE","65.2","65.24202","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EMR","","LBY","BTSX","64.3","64.34932","","","","",""
"WHOSIS_000002","PUBLISHED","2019","AMR","","LCA","MLE","63.0","63.00548","","","","",""
"WHOSIS_000002","PUBLISHED","2019","AMR","","LCA","FMLE","66.6","66.62814","","","","",""
"WHOSIS_000002","PUBLISHED","2019","AMR","","LCA","BTSX","64.7","64.69705","","","","",""
"WHOSIS_000002","PUBLISHED","2019","SEAR","","LKA","MLE","65.1","65.05272","","","","",""
"WHOSIS_000002","PUBLISHED","2019","SEAR","","LKA","FMLE","69.0","68.96616","","","","",""
"WHOSIS_000002","PUBLISHED","2019","SEAR","","LKA","BTSX","67.0","67.04655","","","","",""
"WHOSIS_000002","PUBLISHED","2000","AFR","","LSO","FMLE","43.7","43.73214","","","","",""
"WHOSIS_000002","PUBLISHED","2000","AFR","","LSO","BTSX","42.0","41.98451","","","","",""
"WHOSIS_000002","PUBLISHED","2000","EUR","","LTU","MLE","59.2","59.21115","","","","",""
"WHOSIS_000002","PUBLISHED","2000","EUR","","LTU","FMLE","66.9","66.90726","","","","",""
"WHOSIS_000002","PUBLISHED","2000","EUR","","LTU","BTSX","63.1","63.12323","","","","",""
"WHOSIS_000002","PUBLISHED","2010","EUR","","LUX","MLE","69.6","69.58700","","","","",""
"WHOSIS_000002","PUBLISHED","2010","EUR","","LUX","FMLE","71.3","71.25837","","","","",""
"WHOSIS_000002","PUBLISHED","2010","EUR","","LUX","BTSX","70.5","70.48131","","","","",""
"WHOSIS_000002","PUBLISHED","2010","EUR","","LVA","MLE","60.5","60.53569","","","","",""
"WHOSIS_000002","PUBLISHED","2010","EUR","","LVA","FMLE","67.7","67.73256","","","","",""
"WHOSIS_000002","PUBLISHED","2010","EUR","","LVA","BTSX","64.3","64.25974","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EMR","","MAR","MLE","63.5","63.47890","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EMR","","MAR","FMLE","63.1","63.13969","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EMR","","MAR","BTSX","63.3","63.28651","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EUR","","MDA","MLE","60.2","60.19685","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EUR","","MDA","FMLE","65.5","65.49973","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EUR","","MDA","BTSX","62.9","62.86284","","","","",""
"WHOSIS_000002","PUBLISHED","2019","EUR","","MDA","BTSX","64.5","64.53884","","","","",""
"WHOSIS_000002","PUBLISHED","2019","AFR","","MDG","MLE","56.9","56.88156","","","","",""
"WHOSIS_000002","PUBLISHED","2019","AFR","","MDG","FMLE","57.7","57.73955","","","","",""
"WHOSIS_000002","PUBLISHED","2019","AFR","","MDG","BTSX","57.3","57.31128","","","","",""
"WHOSIS_000002","PUBLISHED","2019","SEAR","","MDV","MLE","69.7","69.72816","","","","",""
"WHOSIS_000002","PUBLISHED","2019","SEAR","","MDV","FMLE","70.0","70.02660","","","","",""
"WHOSIS_000002","PUBLISHED","2000","AMR","","MEX","MLE","63.3","63.27439","","","","",""
"WHOSIS_000002","PUBLISHED","2000","AMR","","MEX","FMLE","65.8","65.81877","","","","",""
"WHOSIS_000002","PUBLISHED","2000","AMR","","MEX","BTSX","64.6","64.55161","","","","",""
"WHOSIS_000002","PUBLISHED","2000","EUR","","MKD","MLE","61.8","61.82290","","","","",""
"WHOSIS_000002","PUBLISHED","2000","EUR","","MKD","FMLE","64.6","64.63117","","","","",""
"WHOSIS_000002","PUBLISHED","2000","EUR","","MKD","BTSX","63.2","63.19067","","","","",""
"WHOSIS_000002","PUBLISHED","2010","AFR","","MLI","MLE","51.6","51.59005","","","","",""
"WHOSIS_000002","PUBLISHED","2010","AFR","","MLI","FMLE","51.1","51.13398","","","","",""
"WHOSIS_000002","PUBLISHED","2010","AFR","","MLI","BTSX","51.3","51.34404","","","","",""
"WHOSIS_000002","PUBLISHED","2010","EUR","","MLT","MLE","69.6","69.57986","","","","",""
"WHOSIS_000002","PUBLISHED","2010","EUR","","MLT","FMLE","71.1","71.13289","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EUR","","MLT","BTSX","71.3","71.31999","","","","",""
"WHOSIS_000002","PUBLISHED","2015","SEAR","","MMR","MLE","57.5","57.50628","","","","",""
"WHOSIS_000002","PUBLISHED","2015","SEAR","","MMR","FMLE","61.5","61.54079","","","","",""
"WHOSIS_000002","PUBLISHED","2015","SEAR","","MMR","BTSX","59.6","59.56367","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EUR","","MNE","MLE","65.1","65.09997","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EUR","","MNE","FMLE","68.2","68.18015","","","","",""
"WHOSIS_000002","PUBLISHED","2019","EUR","","MNE","BTSX","67.0","66.97417","","","","",""
"WHOSIS_000002","PUBLISHED","2019","WPR","","MNG","MLE","57.1","57.05591","","","","",""
"WHOSIS_000002","PUBLISHED","2019","WPR","","MNG","FMLE","63.8","63.79509","","","","",""
"WHOSIS_000002","PUBLISHED","2019","WPR","","MNG","BTSX","60.3","60.28522","","","","",""
